C_ID Date Hour Min Lain_1 Lain_2 Lain_3 Lain_4 Lain_5 Lain_6 Lain_7 Lain_8
A 8/8/12 0 00 15 23 37 25 32 98 3 128
B 8/8/12 0 00 18 30 3 35 91 100 55 162
C 8/8/12 0 00 19 3 60 31 56 97 8 100
D 8/8/12 0 00 10 13 40 55 28 36 122 139
A 8/8/12 0 15 13 42 58 20 73 124 36 90
B 8/8/12 0 15 3 42 43 2 61 13 16 135
C 8/8/12 0 15 6 2 19 33 32 120 145 68
D 8/8/12 0 15 6 7 11 55 44 53 105 55
A 8/8/12 0 30 14 9 12 50 9 58 134 44
B 8/8/12 0 30 17 16 19 78 67 80 63 17
C 8/8/12 0 30 12 30 58 71 3 69 135 73
D 8/8/12 0 30 15 22 33 39 38 52 40 10
A 8/8/12 0 45 6 42 4 33 39 62 23 80
B 8/8/12 0 45 6 27 35 14 99 83 75 66
C 8/8/12 0 45 3 33 29 64 63 105 3 36
D 8/8/12 0 45 2 5 21 11 1 68 97 92
A 8/8/12 1 00 18 4 13 58 48 45 23 119
B 8/8/12 1 00 20 23 6 64 43 59 73 35
C 8/8/12 1 00 7 5 38 15 98 13 66 46
D 8/8/12 1 00 19 32 18 57 27 12 5 55
A 8/8/12 1 15 17 13 15 41 27 43 7 82
B 8/8/12 1 15 5 37 38 64 98 42 80 14
C 8/8/12 1 15 14 18 61 10 97 79 52 26
D 8/8/12 1 15 11 10 63 11 4 44 81 156
A 8/8/12 1 30 12 18 54 70 71 91 147 58
B 8/8/12 1 30 11 18 44 16 45 69 120 91
C 8/8/12 1 30 9 22 15 53 52 86 131 63
D 8/8/12 1 30 7 13 10 45 24 74 54 148
A 8/8/12 1 45 11 9 44 63 65 99 24 136
B 8/8/12 1 45 5 41 5 6 84 48 69 21
C 8/8/12 1 45 3 8 4 61 56 71 32 79
D 8/8/12 1 45 16 32 26 76 79 12 94 120
A 8/8/12 2 00 1 19 26 24 104 102 103 71
B 8/8/12 2 00 16 12 23 37 100 16 95 59
C 8/8/12 2 00 3 8 5 37 101 69 73 164
D 8/8/12 2 00 5 16 25 24 53 18 77 163
A 8/8/12 2 15 12 39 42 38 73 9 112 118
B 8/8/12 2 15 11 7 15 28 83 7 77 128
C 8/8/12 2 15 17 14 62 68 71 115 129 70
D 8/8/12 2 15 3 41 51 59 43 3 25 28
A 8/8/12 2 30 11 18 7 24 68 107 74 32
