C_ID Date Hour Min Main_1 Main_2 Main_3 Main_4 Main_5 Main_6 Main_7 Main_8
A 8/8/12 0 00 21 30 15 66 57 2 71 135
B 8/8/12 0 00 9 40 36 26 93 85 136 126
C 8/8/12 0 00 5 1 17 71 81 123 92 53
D 8/8/12 0 00 21 29 43 77 18 63 53 113
A 8/8/12 0 15 16 20 41 39 74 114 99 116
B 8/8/12 0 15 7 12 2 34 13 52 54 77
C 8/8/12 0 15 1 34 13 9 86 43 2 125
D 8/8/12 0 15 20 4 36 76 36 71 67 91
A 8/8/12 0 30 15 42 1 47 91 8 44 90
B 8/8/12 0 30 14 30 31 67 74 47 59 105
C 8/8/12 0 30 15 11 26 68 86 14 61 66
D 8/8/12 0 30 11 42 16 60 33 61 33 107
A 8/8/12 0 45 5 4 62 9 97 97 75 146
B 8/8/12 0 45 17 1 36 44 56 104 28 131
C 8/8/12 0 45 14 7 34 81 70 73 144 132
D 8/8/12 0 45 1 7 26 31 103 69 121 83
A 8/8/12 1 00 15 21 12 12 82 40 68 36
B 8/8/12 1 00 2 41 60 52 55 8 131 78
C 8/8/12 1 00 6 12 16 53 28 3 127 78
D 8/8/12 1 00 21 15 43 76 27 4 60 107
A 8/8/12 1 15 12 42 20 57 38 124 47 18
B 8/8/12 1 15 1 16 18 9 60 46 96 35
C 8/8/12 1 15 21 17 14 68 57 92 33 161
D 8/8/12 1 15 16 16 47 30 6 27 20 102
A 8/8/12 1 30 4 18 1 65 58 6 34 14
B 8/8/12 1 30 21 41 15 2 62 1 93 90
C 8/8/12 1 30 4 13 4 47 40 122 33 134
D 8/8/12 1 30 15 42 15 63 29 49 24 156
A 8/8/12 1 45 1 22 59 36 28 99 53 113
B 8/8/12 1 45 7 24 28 34 51 34 146 165
C 8/8/12 1 45 5 33 30 75 73 4 3 86
D 8/8/12 1 45 7 1 51 10 86 103 95 22
A 8/8/12 2 00 10 2 47 59 43 61 125 67
B 8/8/12 2 00 11 40 36 22 16 56 130 13
C 8/8/12 2 00 13 25 6 72 42 24 111 107
D 8/8/12 2 00 20 9 9 41 63 101 109 126
A 8/8/12 2 15 19 35 6 51 94 54 129 134
B 8/8/12 2 15 19 37 17 55 55 101 69 59
C 8/8/12 2 15 15 22 36 40 40 92 88 117
D 8/8/12 2 15 21 14 56 75 55 76 88 53
A 8/8/12 2 30 16 27 39 16 65 112 85 67
B 8/8/12 2 30 20 7 13 49 50 79 132 57
C 8/8/12 2 30 20 16 36 65 60 118 103 38
D 8/8/12 2 30 19 8 43 31 52 66 57 61
A 8/8/12 2 45 9 10 1 39 51 20 17 125
B 8/8/12 2 45 1 23 2 9 98 26 49 96
C 8/8/12 2 45 14 39 48 66 90 11 32 128
D 8/8/12 2 45 1 24 13 79 44 104 37 70
A 8/8/12 3 00 7 18 57 40 43 65 96 59
B 8/8/12 3 00 13 35 25 20 84 102 135 97
C 8/8/12 3 00 7 40 49 46 16 59 46 138
D 8/8/12 3 00 17 10 6 54 21 101 52 1
A 8/8/12 3 15 18 41 60 21 32 29 50 127
B 8/8/12 3 15 21 34 61 2 102 92 121 150
C 8/8/12 3 15 7 9 17 7 38 44 19 160
D 8/8/12 3 15 14 40 63 43 78 93 125 113
A 8/8/12 3 30 8 28 52 68 6 76 49 82
B 8/8/12 3 30 14 11 25 40 39 30 29 7
C 8/8/12 3 30 1 22 59 37 41 3 123 113
D 8/8/12 3 30 21 23 39 48 101 113 131 158
A 8/8/12 3 45 8 12 11 17 62 113 116 14
B 8/8/12 3 45 21 40 22 54 93 79 30 94
C 8/8/12 3 45 19 27 24 53 15 96 86 88
D 8/8/12 3 45 4 33 35 71 80 72 95 57
A 8/8/12 4 00 5 25 41 38 84 51 127 12
B 8/8/12 4 00 8 28 29 46 46 21 145 164
C 8/8/12 4 00 7 15 19 58 56 108 77 5
D 8/8/12 4 00 14 18 32 32 5 6 37 68
A 8/8/12 4 15 7 17 58 50 62 51 105 165
B 8/8/12 4 15 6 8 25 19 98 18 105 139
C 8/8/12 4 15 15 19 21 55 48 73 121 122
D 8/8/12 4 15 17 11 6 17 75 76 130 113
A 8/8/12 4 30 2 20 39 54 92 22 73 58
B 8/8/12 4 30 1 12 52 59 28 105 79 107
C 8/8/12 4 30 9 30 8 47 88 27 93 24
D 8/8/12 4 30 1 4 1 29 72 64 101 111
A 8/8/12 4 45 19 26 27 55 59 126 54 116
B 8/8/12 4 45 2 32 24 1 37 67 89 158
C 8/8/12 4 45 20 38 23 36 59 6 15 136
D 8/8/12 4 45 16 28 56 70 91 8 121 153
A 8/8/12 5 00 5 24 63 54 59 20 71 94
B 8/8/12 5 00 18 17 46 16 10 64 13 45
C 8/8/12 5 00 14 35 42 25 57 45 59 44
D 8/8/12 5 00 9 34 24 59 15 67 65 160
A 8/8/12 5 15 8 6 61 54 80 118 147 80
B 8/8/12 5 15 15 41 34 22 41 6 20 26
C 8/8/12 5 15 19 10 46 16 73 53 99 4
D 8/8/12 5 15 8 10 10 83 47 26 103 53
A 8/8/12 5 30 18 4 1 58 9 77 11 163
B 8/8/12 5 30 2 10 29 22 17 53 133 21
C 8/8/12 5 30 4 40 11 12 96 66 13 106
D 8/8/12 5 30 1 34 55 60 70 46 112 89
A 8/8/12 5 45 21 10 50 68 45 58 126 96
B 8/8/12 5 45 9 1 9 18 33 117 81 120
C 8/8/12 5 45 17 30 43 16 11 120 116 103
D 8/8/12 5 45 17 10 12 76 75 36 115 22
A 8/8/12 6 00 6 14 59 3 73 98 76 138
B 8/8/12 6 00 1 3 15 14 78 106 34 77
C 8/8/12 6 00 6 14 56 30 20 123 138 85
D 8/8/12 6 00 3 15 47 51 53 32 134 108
A 8/8/12 6 15 1 7 8 34 85 105 29 40
B 8/8/12 6 15 8 8 26 11 38 55 14 147
C 8/8/12 6 15 20 24 30 57 6 111 101 141
D 8/8/12 6 15 8 38 13 71 97 69 45 101
A 8/8/12 6 30 15 22 1 78 69 114 9 61
B 8/8/12 6 30 18 5 20 13 7 126 46 86
C 8/8/12 6 30 5 10 5 15 65 120 29 23
D 8/8/12 6 30 20 29 14 55 95 57 19 91
A 8/8/12 6 45 14 7 15 56 17 36 38 121
B 8/8/12 6 45 19 29 39 21 82 103 4 149
C 8/8/12 6 45 11 3 22 76 82 58 93 158
D 8/8/12 6 45 6 20 29 5 34 31 78 166
A 8/8/12 7 00 8 38 30 53 23 32 140 143
B 8/8/12 7 00 19 28 61 39 42 20 59 90
C 8/8/12 7 00 5 38 61 73 48 88 19 130
D 8/8/12 7 00 16 3 36 8 12 27 98 80
A 8/8/12 7 15 5 21 24 73 77 11 44 46
B 8/8/12 7 15 5 34 63 70 87 40 87 167
C 8/8/12 7 15 16 20 36 10 57 120 127 29
D 8/8/12 7 15 17 10 13 67 17 79 102 90
A 8/8/12 7 30 12 31 38 33 65 9 67 89
B 8/8/12 7 30 7 39 26 31 103 71 111 133
C 8/8/12 7 30 12 24 52 57 100 61 143 111
D 8/8/12 7 30 17 32 3 16 41 98 114 117
A 8/8/12 7 45 19 17 50 20 82 60 84 24
B 8/8/12 7 45 12 33 52 10 79 24 6 76
C 8/8/12 7 45 21 42 23 48 62 74 93 131
D 8/8/12 7 45 4 17 45 25 72 119 9 83
A 8/8/12 8 00 12 12 39 37 12 76 118 109
B 8/8/12 8 00 9 8 57 9 6 59 90 86
C 8/8/12 8 00 10 21 56 71 37 69 145 10
D 8/8/12 8 00 7 41 55 14 103 51 104 76
A 8/8/12 8 15 21 6 46 3 57 90 47 97
B 8/8/12 8 15 5 37 20 31 84 86 91 85
C 8/8/12 8 15 9 38 1 44 17 80 28 4
D 8/8/12 8 15 15 10 12 69 16 56 128 19
A 8/8/12 8 30 12 32 50 4 101 12 38 78
B 8/8/12 8 30 10 28 45 78 94 15 34 162
C 8/8/12 8 30 5 40 26 53 96 17 60 35
D 8/8/12 8 30 13 42 21 25 14 44 104 168
A 8/8/12 8 45 15 40 28 43 29 4 116 140
B 8/8/12 8 45 10 14 47 69 24 6 86 69
C 8/8/12 8 45 7 19 46 17 55 41 117 24
D 8/8/12 8 45 12 42 59 52 85 48 56 108
A 8/8/12 9 00 17 19 23 38 41 102 10 37
B 8/8/12 9 00 14 27 5 6 76 96 126 65
C 8/8/12 9 00 2 7 41 23 93 63 74 61
